GRB	z	dhour	flux	fluxerr	filtold	filtnew
070724A	0.456	3.048	28.63	0.0	H	H
070724A	0.456	502.2	7.399	0.0	I	I
070724A	0.456	573.509	5.613	0.0	I	I
070724A	0.456	622.378	5.41	0.0	I	I
070724A	0.456	668.623	3.607	0.0	I	I
070724A	0.456	237.737	13.22	0.0	I	I
070724A	0.456	166.164	4.377	0.0	I	I
070724A	0.456	68.3712	4.18	0.0	I	I
070724A	0.456	117.979	4.583	0.0	I	I
070724A	0.456	406.534	4.669	0.0	I	I
070724A	0.456	333.619	5.214	0.0	I	I
070724A	0.456	21.3528	4.844	0.0	I	I
070724A	0.457	2.3	1.1	0.1	i*	i*
070724A	0.456	0.32	9.538	0.0	i*	i*
070724A	0.456	22.2504	0.4825	0.0	i*	i*
070724A	0.456	17.4096	1.554	0.0	i*	i*
070724A	0.456	333.734	16.08	0.0	J	J
070724A	0.457	3.1	3.4	0.3	J	J
070724A	0.456	2.5368	22.61	0.0	J	J
070724A	0.456	117.979	34.54	0.0	J	J
070724A	0.456	668.623	13.13	0.0	J	J
070724A	0.456	622.378	15.64	0.0	J	J
070724A	0.456	166.164	26.2	0.0	J	J
070724A	0.456	573.509	15.94	0.0	J	J
070724A	0.456	68.3712	7.627	0.0	J	J
070724A	0.456	21.3504	8.597	0.0	J	J
070724A	0.456	237.737	17.0	0.0	J	J
070724A	0.456	502.198	19.7	0.0	J	J
070724A	0.456	3.1584	30.48	0.0	K	K
070724A	0.456	2.3064	40.18	0.0	K	K
070724A	0.456	27.048	68.54	0.0	K	K
070724A	0.457	3.7	8.9	1.5	Ks	K
070724A	0.457	2.8	9.3	1.5	Ks	K
070724A	0.456	434.772	0.2918	0.0	R	R
070724A	0.456	435.415	0.2133	0.0	R	R
070724A	0.456	544.699	0.3846	0.0	R	R
070724A	0.456	435.218	0.2275	0.0	R	R
070724A	0.456	17.7216	1.04	0.0	R	R
070724A	0.456	435.398	0.03508	0.0	R	R
070724A	0.456	435.017	0.2234	0.0	R	R
070724A	0.456	434.969	1.589	0.0	R	R
070724A	0.456	434.93	1.409	0.0	R	R
070724A	0.456	435.614	0.2133	0.0	R	R
070724A	0.456	0.83153	32.0	0.0	uvb	B
070724A	0.456	0.93514	4.964	0.0	uvm2	uvm2
070724A	0.456	0.985	16.0	0.0	uvu	uvu
070724A	0.456	0.10597	59.78	0.0	uvv	V
070724A	0.456	0.85042	37.72	0.0	uvv	V
070724A	0.456	0.96722	6.36	0.0	uvw1	uvw1
070724A	0.456	0.89278	3.575	0.0	uvw2	uvw2
070729	0.8	8.4	3.02	0.0	J	J
070729	0.8	8.4	0.48	0.0	r*	r*
070809	0.473	35.14	0.19	0.0	g*	g*
070809	0.473	11.21	0.25	0.051	g*	g*
070809	0.473	35.1	0.36	0.11	R	R
070809	0.473	11.2	0.82	0.17	R	R
071227	0.381	29.0	0.2433	0.0	g*	g*
071227	0.381	29.0	23.59	0.0	H	H
071227	0.381	4.1575	44.95	0.0	H	H
071227	0.381	4.6	643.7	0.0	H	H
071227	0.381	4.1575	37.94	0.0	i*	i*
071227	0.381	29.0	0.7927	0.0	i*	i*
071227	0.381	4.1575	37.52	0.0	J	J
071227	0.381	29.0	9.423	0.0	J	J
071227	0.381	4.1575	64.87	0.0	Ks	K
